x,y,z,dist_to_centroid,dist_to_principal_axis,R,G,B,color_oob,opacity,scale_phys_0,scale_phys_1,scale_phys_2,scale_ratio,linearity,planarity,sphericity,orientation_x,orientation_y,orientation_z,local_density,if_keep,part_label,confidence
-0.0120511685716482,0.0024884543877049,-0.0032399500239276,0.0005091739509028,0.0002881667181409,0.1168089287250244,0.1168089287250244,0.1168089287250244,False,0.7527604773647992,0.0002224662563227,0.0001714125630153,0.0002402595468776,1.4016449124336587,0.0740586202971137,0.2124939215562203,0.713447458146666,0.4730541302912567,0.727644529433725,0.4967426180624685,9796.874063978848,True,body,high
-0.0120914307443105,0.0021667037029891,-0.0021884830520014,0.0015541555061401,0.0012894409968369,0.4243534226809598,0.4243534226809598,0.4243534226809598,False,0.2891493108961786,2.5563985001352607e-05,2.657301090119165e-05,7.17571219195827e-05,2.806961509161658,0.6296812052889791,0.0140616829778909,0.35625711173313,0.991946094558167,0.0512934048863092,0.1158098964077304,1649.6339630615269,False,body,high
-0.0130283510383586,0.0024451227304278,-0.0039108441716945,0.0012164455007535,0.0008639260535228,0.3606686656751126,0.3606686656751126,0.3606686656751126,False,0.2208970925156168,9.952404843672854e-05,6.477419579614054e-05,4.36778234354206e-05,2.2785945042311644,0.3491603606004821,0.2119726105608712,0.4388670288386466,0.5853982088394623,-0.4368339071014647,-0.6829971264171018,3445.3078252879163,True,body,high
-0.0109850006731899,0.0028764090055434,-0.0043193023273286,0.0011381739402877,0.0007645991331988,0.1898848479931379,0.1898848479931379,0.1898848479931379,False,0.4884487449374757,5.198789975580484e-05,0.000123689170025,0.0001286062061891,2.473771912180004,0.038233272792707,0.5575257399617255,0.4042409872455675,0.0266433613221848,0.9910752384949442,0.1306139461912288,4897.052952190793,True,wing_L,high
-0.0109711376431295,0.0025617310090614,-0.0048271131921293,0.0014258830917826,0.0007534095051843,0.2094600274115517,0.2094600274115517,0.2094600274115517,False,0.4759737288835506,3.165234825550755e-05,7.495194223783555e-05,3.280177470484036e-05,2.3679741431125514,0.562362578934184,0.0153355125299552,0.4223019085358608,0.3286896214631647,0.9436101529081964,-0.0395349474638827,3962.1334711316704,True,wing_L,high
-0.0113129895705413,0.0013521124464936,-0.0036613269555817,0.0012041669657664,0.0009356053413513,0.3493175020195941,0.3493175020195941,0.3493174347629547,False,0.0980350213497406,2.8751133738814405e-05,7.31313138991532e-05,7.789176752593281e-05,2.7091720359109845,0.0611162614225527,0.5697672754128108,0.3691164631646365,0.7729054176152603,-0.5335817647093206,-0.3433769296133149,6870.817967112947,True,wing_R,high
-0.0111702294434018,0.0027664158072733,-0.0041600537195115,0.0008712549987542,0.0005780877547818,0.4971472323986705,0.4971472323986705,0.4971472323986705,False,0.9538429803327212,8.396765426618534e-05,3.6664599543750366e-05,9.28898444132808e-05,2.533502222012248,0.0960512982172658,0.5092381736799624,0.3947105281027717,0.2501300518747595,0.822518079506982,-0.5107826994263569,4689.073634092119,True,wing_L,high
-0.0129364308325801,0.0030052628797039,-0.0039901219988488,0.0012764856191926,0.0008756784176145,0.3217112241014004,0.3217112241014004,0.3217112241014004,False,0.109940324864536,5.6988682312143e-05,6.436758703613822e-05,8.111319949448183e-05,1.423321196482524,0.2064474408937945,0.0909704557332522,0.7025821033729531,0.6621557908420559,-0.5743060492973849,-0.4813753944633659,8507.13865958425,True,body,high
-0.0110215193891118,0.001163997884316,-0.0046093465257845,0.001764495696578,0.0008876924450646,0.495042801050347,0.495042801050347,0.4950426223998985,False,0.1726745204627842,1.665855206097029e-05,4.843591986802484e-05,1.918303918196593e-05,2.9075708195255747,0.6039501420797897,0.0521201440557793,0.3439297138644309,-0.4241741446727043,-0.8789092544727595,0.2181623647500143,6475.206244222847,True,wing_R,high
-0.011464514719671,0.002705590743595,-0.0039276431831483,0.0005089998814786,0.0003954507946894,0.3243906277312002,0.3243906277312002,0.3243906277312002,False,0.2233963365065137,4.520889648900801e-05,4.066331646979411e-05,9.683364659092022e-05,2.381351424270843,0.5331282247378764,0.0469421547080323,0.4199296205540913,0.1522069496132814,0.9534558793373612,-0.2602977730339612,7731.063733874882,True,body,high
-0.0118336396821957,0.0029183387813544,-0.0026664038095547,0.0011361861419114,0.000915861455713,0.1479738731344028,0.1479738731344028,0.1479739740193619,False,0.4986451932323958,2.262723494709576e-05,6.442617565591058e-05,2.361046506638861e-05,2.8472845138411307,0.633526826231497,0.0152613453970033,0.3512118283714996,0.6212781952963233,0.7552290006397419,0.2089080195733046,2353.804463271013,False,body,high
-0.0116259380480543,0.0026161589888908,-0.0035785342092753,0.0002957143038191,0.0002919189426347,0.3563327226091538,0.3563327226091538,0.3563327226091538,False,0.5860651608138379,7.360760188016343e-05,3.263624166937086e-05,2.973295639502268e-05,2.475623375699209,0.5566185986808242,0.0394427368938722,0.4039386644253035,0.0008943530971187,0.9759641431869086,-0.2179293264936621,9067.1572033504,True,body,high
-0.0115596304866794,0.0024685428786447,-0.00299071500922,0.0007565958177632,0.0007430457596417,0.1468265757507428,0.1468265757507428,0.1468265757507428,False,0.6577626845437576,0.0001618324423459,0.000127621571078,0.0002252187404596,1.7647388177186176,0.2814432670404252,0.1519006420073968,0.566656090952178,0.2410488149348796,0.9008058180466868,0.3611708003033047,9201.9825576479,True,body,high
