frame,n_total,n_floater,floater_frac,angle1_deg,angle2_deg,lambda1_lambda2_full,lambda1_lambda2_clean
f0000,1053,550,0.5223171889838556,4.637493092790463,38.19301590827624,4.130748227336456,16.70907001253281
f0025,973,92,0.09455292908530319,11.099998919540623,10.85699489753982,1.6185086820674879,1.728330448489842
f0050,1004,887,0.8834661354581673,14.93048582994748,19.390326760062628,1.7812371549684192,3.646194626487415
f0075,1100,41,0.03727272727272727,9.12493574015466,1.8748216779106874,1.4800902206390172,1.5625919029242943
f0100,1162,315,0.2710843373493976,10.398908792855059,12.220879317062272,3.332383719036823,5.546621357393721
